,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.dukehealth.org/,text/html; charset=UTF-8,200,OK,Indexable,,Duke Health | Connect with your health care at Duke Health,58,523,"As a world-class academic and health care system, Duke Health strives to transform medicine and health locally and globally.",124,773,,0,Duke Health,11,,0,,0,,,,https://www.dukehealth.org/,,,,,,51226,454,6.43,0,,1989,809,0,99.63,50,37,0,17,16,0,,,,,c5a58591b1beea8dd8d3c46f6708fc16,0.064,"Fri, 21 Jan 2022 14:19:01 GMT",,,,1.1,https://www.dukehealth.org/,2022-01-21 09:23:41
1,https://www.dukehealth.org/adult-treatments,text/html; charset=UTF-8,200,OK,Indexable,,Treatments for Adults | Duke Health,35,314,Browse Duke Health’s advanced and personalized treatment options and services for adults.,89,572,,0,Treatments For Adults,21,View Treatments for Children,28,,0,,,,https://www.dukehealth.org/adult-treatments,,,,,,66887,84,1.633,1,,107,106,0,13.05,25,23,0,12,12,0,,,,,b9eac105e8a8ec8d0f4331ca9e00d16d,0.061,"Fri, 21 Jan 2022 14:19:34 GMT",,,,1.1,https://www.dukehealth.org/adult-treatments,2022-01-21 09:23:41
2,https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_artificial_heart_1932x862_1.jpg?h=055763a9&itok=L45owJGO,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,5200,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.17,"Wed, 08 Dec 2021 15:09:00 GMT",,,,1.1,https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_artificial_heart_1932x862_1.jpg?h=055763a9&itok=L45owJGO,2022-01-21 09:23:41
4,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,text/html; charset=UTF-8,200,OK,Indexable,,"COVID-19 Vaccine Update | Raleigh, Durham, NC | Duke Health",59,567,Schedule your COVID-19 vaccine or visit one of our walk-in vaccine clinics. The COVID-19 vaccine is available at no cost. You do not need health insurance. You do not need to be a Duke Health patient.,200,1259,,0,COVID-19 Vaccine Update,23,"Updated: January 6, 2022",24,Pfizer COVID-19 Vaccine Boosters Available for Ages 12 and Up,61,,,,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,,,,,,65683,1132,11.295,1,,842,809,0,99.63,60,30,0,22,22,0,,,,,492c86b434e8ccedc6edcbc1c1604ec0,0.166,"Fri, 21 Jan 2022 14:20:00 GMT",,,,1.1,https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update,2022-01-21 09:23:41
5,https://www.dukehealth.org/VisitorRestrictions,text/html; charset=UTF-8,200,OK,Indexable,,Visitor Restrictions in Place | Duke Health,43,365,Our visitation guidelines are based on recommendations from the CDC and our infectious disease experts.,103,659,,0,Visitor Restrictions in Place,29,"Effective January 14, 2022",26,Thank You,9,,,,https://www.dukehealth.org/VisitorRestrictions,,,,,,67724,2279,22.014,1,,852,809,0,99.63,56,32,0,12,12,0,,,,,f6931abe9f6681d875a7c885abbf1a68,0.166,"Fri, 21 Jan 2022 14:00:10 GMT",,,,1.1,https://www.dukehealth.org/VisitorRestrictions,2022-01-21 09:23:41
6,https://www.dukehealth.org/blog,text/html; charset=UTF-8,200,OK,Indexable,,Duke Health Blog | Duke Health,30,280,Stories and news about treatment advances that improve your health and quality of life from Duke Health.,104,651,,0,Duke Health Blog,16,Stories and news about treatment advances that improve your health and quality of life,86,,0,,,,https://www.dukehealth.org/blog,,,,,,52531,294,4.53,1,,848,375,0,46.18,103,60,0,12,12,0,,,,,8ce24b756e78024075cb2943666eb9a6,0.438,"Fri, 21 Jan 2022 14:23:39 GMT",,,,1.1,https://www.dukehealth.org/blog,2022-01-21 09:23:41
7,https://www.dukehealth.org/covid-19-update/covid-19-testing,text/html; charset=UTF-8,200,OK,Indexable,,COVID-19 Testing | Duke Health,30,288,"Duke Health offers self-swab COVID-19 testing whether or not you have symptoms, suspect you've been exposed to someone with COVID-19, require testing for travel or other reasons. ",179,1147,,0,COVID-19 Testing,16,Self-Swab PCR Testing Available for All Ages,44,Additional COVID-19 Testing Options,35,,,,https://www.dukehealth.org/covid-19-update/covid-19-testing,,,,,,52186,498,6.788,1,,839,809,0,99.63,54,30,0,16,16,0,,,,,23ecf2bfccfbb7aac30936bd2c9d4fa5,0.064,"Fri, 21 Jan 2022 14:18:53 GMT",,,,1.1,https://www.dukehealth.org/covid-19-update/covid-19-testing,2022-01-21 09:23:42
8,https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,text/html; charset=UTF-8,200,OK,Indexable,,Strong and Limber (Virtual Event) - January 07 | Duke Health,60,536,"Strong and Limber (Virtual Event) is on January 07 at 3:15 pm at Duke Health & Fitness Center in , NC",101,634,,0,Strong and Limber (Virtual Event),33,,0,,0,,,,https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,,,,,,42068,306,5.889,1,,5,2,0,0.25,28,23,0,13,13,0,,,,,9d0404ccab3f621584168f8864c1d321,0.643,,,,,1.1,https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,2022-01-21 09:23:42
9,https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,text/html; charset=UTF-8,200,OK,Indexable,,Clínicas de vacunación COVID-19 abiertas al público | Duke Health,65,593,Duke Health está ofreciendo vacunas contra el COVID-19 sin necesidad de cita previa en nuestras clínicas de vacunación COVID-19 abiertas al público.,148,950,,0,Clínicas de vacunación COVID-19 abiertas al público,51,No se requiere cita previa,26,Próximas clínicas de vacunación sin cita previa,47,,,,https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,,,,,,50291,410,6.059,1,,863,809,0,99.63,49,26,0,13,13,0,,,,,8278c5cbeb0a8eace4b928d67ff07cb2,0.061,"Fri, 21 Jan 2022 14:16:30 GMT",,,,1.1,https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,2022-01-21 09:23:42
10,https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,text/html; charset=UTF-8,200,OK,Indexable,,Pruebas para la detección de COVID-19 | Duke Health,51,479,"Duke Health ofrece la posibilidad de realizarse una autoprueba PCR NASAL COVID-19, tanto si tiene síntomas como si sospecha que ha estado expuesto a alguien con COVID-19, o si necesita hacerse la prueba por motivos de viaje o por otras razones.",244,1575,,0,Pruebas para la detección de COVID-19,37,Autoprueba PCR NASAL COVID-19 disponible para todas las edades,62,Opciones adicionales de pruebas de COVID-19,43,,,,https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,,,,,,48905,546,7.723,1,,857,809,0,99.63,48,27,0,16,16,0,,,,,52e59e86031e052bbcd6b337d7a81389,0.067,"Fri, 21 Jan 2022 14:20:23 GMT",,,,1.1,https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,2022-01-21 09:23:42
