,Source,Target,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,https://osumc.com/,https://osumc.com/,,,,
1,https://osumc.com/,https://osumc.com/,,,,
2,https://osumc.com/,https://osumc.com/,,,,
3,https://osumc.com/,https://osumc.com/,,,,
4,https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
5,https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
6,https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
7,https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
8,https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
9,https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
10,https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
11,https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
12,https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
13,https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
14,https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
15,https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
16,https://osumc.com/services/,https://osumc.com/,,,,
17,https://osumc.com/services/,https://osumc.com/,,,,
18,https://osumc.com/services/,https://osumc.com/,,,,
19,https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
20,https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
21,https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
22,https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
23,https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
24,https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
25,https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
26,https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
27,https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
28,https://osumc.com/osu-medicine-uses-cardiomems-hf-system/,https://osumc.com/,,,,
29,https://osumc.com/resources/about-us/,https://osumc.com/,,,,
30,https://osumc.com/resources/about-us/,https://osumc.com/,,,,
