"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://massgeneral.org/","","302","Found : Moved Temporarily","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","0","","54","54","4.680","0","0","0","0","","","","","","1.126","","https://www.massgeneral.org/","HTTP Redirect","","HTTP/1.1","https://massgeneral.org/","2021-09-20 10:32:37"
"https://www.massgeneral.org/","text/html; charset=UTF-8","200","OK","Indexable","","Massachusetts General Hospital","30","285","","0","0","Patients at Mass General have access to a vast network of physicians, nearly all of whom are Harvard Medical School faculty and many of whom are leaders within their fields.","173","1087","","0","Our Strength Is Yours","21","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/","","","","","","74720","647","10.615","1","","5433","1148","99.570","230","102","24","14","","","","","fe5f14b45c43c33f8c129144d79448ab","0.270","","","","","HTTP/1.1","https://www.massgeneral.org/","2021-09-20 10:32:38"
"https://www.massgeneral.org/research/education/community-outreach/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Community Outreach","18","188","","0","0","The innovative education and training programs at Massachusetts General Hospital are designed to foster careers in science and medicine.","136","866","","0","Community Outreach","18","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/research/education/community-outreach","","","","","","77589","466","9.989","2","","2239","1084","94.020","258","123","22","14","","","","","ef9ffb51fa6d73d498f98b0dc1d81a58","0.437","","","","","HTTP/1.1","https://www.massgeneral.org/research/education/community-outreach/","2021-09-20 10:32:39"
"https://www.massgeneral.org/about","text/html; charset=UTF-8","200","OK","Indexable","","About Massachusetts General Hospital","36","341","","0","0","Mass General is the #1 research hospital in America and has the largest hospital based research program in the U.S.","115","725","","0","The Mass General Difference","27","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/about","","","","","","86310","1525","16.020","2","","1120","1094","94.880","252","109","27","21","","","","","f38102e8e48f3e75183095a01364a696","0.443","","","","","HTTP/1.1","https://www.massgeneral.org/about","2021-09-20 10:32:39"
"https://www.massgeneral.org/omfs/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Oral and Maxillofacial Surgery","30","264","","0","0","We deliver high-quality, comprehensive oral and maxillofacial surgery patient care.","83","510","","0","Department of Oral & Maxillofacial Surgery","42","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/omfs","","","","","","82223","671","10.152","2","","2203","1084","94.020","252","110","19","13","","","","","de4b77bd60f6d838c45b678a3f6b0b76","0.484","","","","","HTTP/1.1","https://www.massgeneral.org/omfs/","2021-09-20 10:32:39"
"https://www.massgeneral.org/equity-and-inclusion/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Equity and Community Health","27","264","","0","0","We aim to have diverse talent across the organization, excelling in a supportive environment, and trained to deliver equitable high-quality care to—and conduct research in partnership with—a diverse community that feels valued and respected.","241","1503","","0","Equity and Community Health at Mass General","43","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/equity-and-inclusion","","","","","","75447","686","10.947","2","","2203","1084","94.020","225","99","24","16","","","","","53ab685218889c4d538f3160fd46b27b","0.448","","","","","HTTP/1.1","https://www.massgeneral.org/equity-and-inclusion/","2021-09-20 10:32:39"
"https://www.massgeneral.org/notices/rights","text/html; charset=UTF-8","200","OK","Indexable","","Patient Rights & Concerns","25","233","","0","0","Massachusetts General Hospital's goal is to provide the best health care experience possible. Patients or family members can share their compliments or voice any concerns about their experience by using the resources listed on this page.","237","1484","","0","Patient Rights & Concerns","25","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/notices/rights","","","","","","66802","706","12.695","2","","2193","1084","94.020","222","99","17","12","","","","","a740a7d08092335ca3b4c1cbe2194295","0.333","","","","","HTTP/1.1","https://www.massgeneral.org/notices/rights","2021-09-20 10:32:39"
"https://www.massgeneral.org/quality-and-safety/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Center for Quality and Safety","29","254","","0","0","Mass General is committed to providing the highest-quality, safest care to all patients.","88","531","","0","Quality & Safety","16","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/quality-and-safety","","","","","","71903","546","10.461","2","","2220","1084","94.020","234","105","17","11","","","","","e747f97ecced2c48aef3466191fce98e","0.343","","","","","HTTP/1.1","https://www.massgeneral.org/quality-and-safety/","2021-09-20 10:32:39"
"https://www.massgeneral.org/orthopaedics/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Orthopaedic Surgery","19","183","","0","0","We offer the full spectrum of orthopaedic care and are the best and most comprehensive orthopaedic surgery department in New England.","133","854","","0","Department of Orthopaedic Surgery","33","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/orthopaedics","","","","","","99205","949","10.522","2","","3320","1085","94.100","276","136","15","10","","","","","2452c2fee2a7189bc5bd6fec4c9cd1b7","0.391","","","","","HTTP/1.1","https://www.massgeneral.org/orthopaedics/","2021-09-20 10:32:39"
"https://www.massgeneral.org/notices/privacy","text/html; charset=UTF-8","200","OK","Indexable","","Privacy & Security","18","161","","0","0","Massachusetts General Hospital is strongly committed to protecting the privacy and security of its patients, families and other readers of the Mass General website.","164","1015","","0","Privacy & Security","18","","0","The Mass General Difference","27","Conditions & Treatments","23","","","","https://www.massgeneral.org/notices/privacy","","","","","","63906","461","10.613","2","","4356","1084","94.020","220","96","15","10","","","","","4c00ad0407836940d01d3fd88f0af9e9","0.301","","","","","HTTP/1.1","https://www.massgeneral.org/notices/privacy","2021-09-20 10:32:40"
