"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://forefdn.org/","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","228","0","0.000","0","","0","0","0.000","0","0","0","0","","","","","","0.115","","https://forefdn.org/","HTTP Redirect","","HTTP/1.1","http://forefdn.org/","2021-09-11 18:17:50"
"https://forefdn.org/","text/html; charset=UTF-8","200","OK","Indexable","","Home | Foundation for Opioid Response Efforts (FORE)","52","490","FORE is a national, private, grantmaking foundation focused solely on inspiring and accelerating action to end the nation’s opioid epidemic.","140","860","","0","","0","","0","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://forefdn.org/","","","","","","22190","251","9.574","1","","138","135","100.000","21","14","8","4","","","","","457a6b0f1554adcee401e42245b0aca0","0.724","","","","","HTTP/1.1","https://forefdn.org/","2021-09-11 18:17:51"
"https://forefdn.org/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","374","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.276","Tue, 12 May 2020 21:38:48 GMT","","","","HTTP/1.1","https://forefdn.org/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70","2021-09-11 18:17:57"
"https://forefdn.org/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend.min.js?ver=6.4.0","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","9265","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.283","Mon, 21 Dec 2020 21:42:35 GMT","","","","HTTP/1.1","https://forefdn.org/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend.min.js?ver=6.4.0","2021-09-11 18:17:57"
"https://forefdn.org/wp-content/themes/fore/dist/js/app.js?v=1602276942","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","133409","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.346","Fri, 09 Oct 2020 20:55:42 GMT","","","","HTTP/1.1","https://forefdn.org/wp-content/themes/fore/dist/js/app.js?v=1602276942","2021-09-11 18:17:57"
"https://forefdn.org/wp-includes/css/dist/block-library/style.min.css?ver=5.5.6","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","53907","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.069","Tue, 20 Oct 2020 22:05:43 GMT","","","","HTTP/1.1","https://forefdn.org/wp-includes/css/dist/block-library/style.min.css?ver=5.5.6","2021-09-11 18:17:57"
"https://forefdn.org/webinar-understanding-and-bolstering-the-recovery-workforce-findings-from-in-depth-discussions-with-peer-recovery-coaches-7-14-2021/","text/html; charset=UTF-8","200","OK","Indexable","","Webinar: Findings from In-Depth Discussions with Peer Recovery Coaches (7/14/2021) - FORE","89","842","","0","0","","0","News & Updates — Webinar","24","Webinar: Findings from In-Depth Discussions with Peer Recovery Coaches (7/14/2021)","82","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://forefdn.org/webinar-understanding-and-bolstering-the-recovery-workforce-findings-from-in-depth-discussions-with-peer-recovery-coaches-7-14-2021/","","","","","","28380","460","11.542","2","","36","18","13.330","25","15","14","9","","","","","185eb1b8a95a96df6c4a5bc56177d693","0.571","","","","","HTTP/1.1","https://forefdn.org/webinar-understanding-and-bolstering-the-recovery-workforce-findings-from-in-depth-discussions-with-peer-recovery-coaches-7-14-2021/","2021-09-11 18:17:57"
"https://forefdn.org/wp-content/themes/fore/dist/css/app.css?v=1602531705","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","126025","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.328","Mon, 12 Oct 2020 19:41:45 GMT","","","","HTTP/1.1","https://forefdn.org/wp-content/themes/fore/dist/css/app.css?v=1602531705","2021-09-11 18:17:57"
"https://forefdn.org/resources/","text/html; charset=UTF-8","200","OK","Indexable","","Resources - FORE","16","167","","0","0","","0","Resources","9","Choose Category","15","Informational Webinar: Engaging and Empowering Vulnerable Families and Communities to Prevent Opioid Use Disorder and Overdose","126","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://forefdn.org/resources/","","","","","","30328","599","14.098","2","","165","135","100.000","44","36","23","11","","","","","3cc69796187f0e31b889abf3a97ff00e","0.861","","","","","HTTP/1.1","https://forefdn.org/resources/","2021-09-11 18:17:57"
"https://forefdn.org/careers/","text/html; charset=UTF-8","200","OK","Indexable","","Careers - FORE","14","143","","0","0","","0","Careers","7","","0","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://forefdn.org/careers/","","","","","","18285","92","5.694","2","","138","135","100.000","15","11","8","4","","","","","47290748b954370f7ecec88af598039a","0.784","","","","","HTTP/1.1","https://forefdn.org/careers/","2021-09-11 18:17:57"
