"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://hcn.fiu.edu/index.html","text/html","200","OK","Non-Indexable","Canonicalised","HealthCare Network | HealthCare Network","39","371","FIU HealthCare Network is a management service organization that serves across Florida International University, the FIU Academic Health Centers, and the community.","164","1047","","0","HealthCare Network","18","Our Clients","11","Connect","7","","","","https://hcn.fiu.edu/","","","","","","17522","158","9.520","0","","45","14","0","100.000","18","6","0","47","43","0","","","","","65b000ec1d2058cb8527170b8a549ab6","0.042","Fri, 21 Jan 2022 07:04:20 GMT","","","","1.1","https://hcn.fiu.edu/index.html","2022-01-21 13:07:50"
"https://hcn.fiu.edu/about/index.html","text/html","200","OK","Non-Indexable","Canonicalised","About Us | HealthCare Network | HealthCare Network","50","468","To support the FIU Academic Health Center by facilitating the clinical practice of medicine by Herbert Wertheim College of Medicine physicians and providing healthcare business ...","180","1114","","0","About Us","8","Our Mission","11","Our Vision","10","","","","https://hcn.fiu.edu/about/","","","","","","16767","140","9.138","1","","35","14","0","100.000","17","5","0","47","43","0","","","","","5435917e643d99523814c3fab296996f","0.049","Fri, 21 Jan 2022 07:04:41 GMT","","","","1.1","https://hcn.fiu.edu/about/index.html","2022-01-21 13:07:51"
"https://hcn.fiu.edu/_assets/images/client-international-program.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","111605","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.053","Fri, 21 Jan 2022 07:03:32 GMT","","","","1.1","https://hcn.fiu.edu/_assets/images/client-international-program.jpg","2022-01-21 13:07:51"
"https://hcn.fiu.edu/our-clients/","text/html","200","OK","Indexable","","Our Clients | HealthCare Network | HealthCare Network","53","487"," FIU HealthCare Network (HCN) manages the faculty group practice of the Herbert Wertheim College of Medicine (HWCOM) at two clinical sites. The group practice provides ...","171","1082","","0","Our Clients","11","The Faculty Group Practice","26","Student Health","14","","","","https://hcn.fiu.edu/our-clients/","","","","","","19056","275","12.989","1","","11","3","0","21.430","17","6","0","49","45","0","","","","","980e030805576f8b50fd120bf847c9ea","0.220","Fri, 21 Jan 2022 07:05:03 GMT","","","","1.1","https://hcn.fiu.edu/our-clients/","2022-01-21 13:07:52"
"https://hcn.fiu.edu/","text/html","200","OK","Indexable","","HealthCare Network | HealthCare Network","39","371","FIU HealthCare Network is a management service organization that serves across Florida International University, the FIU Academic Health Centers, and the community.","164","1047","","0","HealthCare Network","18","Our Clients","11","Connect","7","","","","https://hcn.fiu.edu/","","","","","","17522","158","9.520","1","","5","1","0","7.140","18","7","0","47","43","0","","","","","65b000ec1d2058cb8527170b8a549ab6","0.095","Fri, 21 Jan 2022 07:04:20 GMT","","","","1.1","https://hcn.fiu.edu/","2022-01-21 13:07:54"
"https://hcn.fiu.edu/_assets/images/client-faculty-group-practice.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","145904","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.133","Fri, 21 Jan 2022 07:03:29 GMT","","","","1.1","https://hcn.fiu.edu/_assets/images/client-faculty-group-practice.jpg","2022-01-21 13:07:55"
"https://hcn.fiu.edu/leadership/index.html","text/html","200","OK","Non-Indexable","Canonicalised","Leadership | HealthCare Network | HealthCare Network","52","485","FIU Health Care Network is a management service organization that serves across the Academic Health Centers, Florida International University and the community.","160","1021","","0","Leadership","10","Connect","7","Explore FIU","11","","","","https://hcn.fiu.edu/leadership/","","","","","","17568","107","7.372","1","","39","14","0","100.000","21","9","0","47","43","0","","","","","61945bf6d03c3e2531cb151d5f8b42e0","0.204","Fri, 21 Jan 2022 07:02:03 GMT","","","","1.1","https://hcn.fiu.edu/leadership/index.html","2022-01-21 13:07:55"
"https://hcn.fiu.edu/our-services/index.html","text/html","200","OK","Non-Indexable","Canonicalised","Our Services | HealthCare Network | HealthCare Network","54","501","FIU Health Care Network provides a wide range of management services to meet the specific needs of the University's clinical enterprise and business units Services include ...","175","1091","","0","Our Services","12","Standard Services","17","Connect","7","","","","https://hcn.fiu.edu/our-services/","","","","","","17283","174","10.363","1","","35","14","0","100.000","17","5","0","47","43","0","","","","","fc946c937d522c5740edc83f2184cb63","0.055","Fri, 21 Jan 2022 07:03:58 GMT","","","","1.1","https://hcn.fiu.edu/our-services/index.html","2022-01-21 13:07:56"
"https://hcn.fiu.edu/_assets/images/client-student-health-services.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","177667","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.197","Fri, 21 Jan 2022 07:03:29 GMT","","","","1.1","https://hcn.fiu.edu/_assets/images/client-student-health-services.jpg","2022-01-21 13:07:56"
"https://hcn.fiu.edu/our-clients/index.html","text/html","200","OK","Non-Indexable","Canonicalised","Our Clients | HealthCare Network | HealthCare Network","53","487"," FIU HealthCare Network (HCN) manages the faculty group practice of the Herbert Wertheim College of Medicine (HWCOM) at two clinical sites. The group practice provides ...","171","1082","","0","Our Clients","11","The Faculty Group Practice","26","Student Health","14","","","","https://hcn.fiu.edu/our-clients/","","","","","","19056","275","12.989","1","","35","14","0","100.000","17","5","0","49","45","0","","","","","980e030805576f8b50fd120bf847c9ea","0.069","Fri, 21 Jan 2022 07:05:03 GMT","","","","1.1","https://hcn.fiu.edu/our-clients/index.html","2022-01-21 13:07:57"
