"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Search 1: bridge clinic","URL Encoded Address","Crawl Timestamp"
"https://www.westernuhealth.com/","text/html; charset=UTF-8","200","OK","Indexable","","WesternU Health","15","152","","0","0","","0","WesternU Health Vaccine Clinic","30","WesternU Specialized Services","29","","0","","0","max-image-preview:large","","","https://www.westernuhealth.com/","","","","","","114317","374","2.615","0","","125","48","0","100.000","64","21","0","11","11","0","","","","","f6f61b07843ae7e5d35bb4d16a7ff527","0.539","","","","","1.1","0","https://www.westernuhealth.com/","2021-11-29 14:31:53"
"https://www.westernuhealth.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.308","Thu, 29 Jul 2021 15:36:31 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-includes/js/jquery/ui/controlgroup.min.js?ver=1.12.1","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.322","Thu, 04 Feb 2021 13:57:11 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-includes/js/jquery/ui/controlgroup.min.js?ver=1.12.1","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-content/uploads/the7-css/mega-menu.css?ver=d0205bc4a8c7","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.467","Tue, 23 Nov 2021 17:50:32 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-content/uploads/the7-css/mega-menu.css?ver=d0205bc4a8c7","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-content/uploads/the7-css/css-vars.css?ver=d0205bc4a8c7","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.485","Tue, 23 Nov 2021 17:50:31 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-content/uploads/the7-css/css-vars.css?ver=d0205bc4a8c7","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-includes/js/jquery/ui/slider.min.js?ver=1.12.1","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.479","Thu, 29 Jul 2021 15:36:31 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-includes/js/jquery/ui/slider.min.js?ver=1.12.1","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-content/uploads/images/come-as-u-are.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","78860","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.470","Tue, 23 Feb 2021 23:52:03 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-content/uploads/images/come-as-u-are.jpg","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-includes/js/wp-embed.min.js?ver=5.8.2","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.743","Thu, 04 Feb 2021 13:57:11 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-includes/js/wp-embed.min.js?ver=5.8.2","2021-11-29 14:31:54"
"https://www.westernuhealth.com/wp-includes/js/jquery/ui/accordion.min.js?ver=1.12.1","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.482","Thu, 04 Feb 2021 13:57:11 GMT","","","","1.1","0","https://www.westernuhealth.com/wp-includes/js/jquery/ui/accordion.min.js?ver=1.12.1","2021-11-29 14:31:55"
"https://www.westernuhealth.com/patients/","text/html; charset=UTF-8","200","OK","Indexable","","Patients | WesternU Health","26","239","","0","0","","0","Patients","8","","0","","0","","0","max-image-preview:large","","","https://www.westernuhealth.com/patients/","","","","","","109000","920","5.555","1","","63","17","0","35.420","103","43","0","9","9","0","","","","","48c10c319c41f3f310d09dcb7ebabf79","0.871","","","","","1.1","0","https://www.westernuhealth.com/patients/","2021-11-29 14:31:55"
