Source,Target,,,,
https://osumc.com/,https://osumc.com/,,,,
https://osumc.com/,https://osumc.com/,,,,
https://osumc.com/,https://osumc.com/,,,,
https://osumc.com/,https://osumc.com/,,,,
https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
https://osumc.com/resources/standard-hospital-charges/,https://osumc.com/,,,,
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumc.com/,,,,
https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
https://osumc.com/services/emergency-department/,https://osumc.com/,,,,
https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
https://osumc.com/services/sleep-center/,https://osumc.com/,,,,
https://osumc.com/services/,https://osumc.com/,,,,
https://osumc.com/services/,https://osumc.com/,,,,
https://osumc.com/services/,https://osumc.com/,,,,
https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
https://osumc.com/services/outpatient-dialysis-unit/,https://osumc.com/,,,,
https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
https://osumc.com/services/respiratory-services/,https://osumc.com/,,,,
https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
https://osumc.com/services/cardiovascular-medicine/,https://osumc.com/,,,,
https://osumc.com/osu-medicine-uses-cardiomems-hf-system/,https://osumc.com/,,,,
https://osumc.com/resources/about-us/,https://osumc.com/,,,,
https://osumc.com/resources/about-us/,https://osumc.com/,,,,
https://osumc.com/resources/about-us/,https://osumc.com/,,,,
https://osumc.com/news-media-relations/,https://osumc.com/,,,,
https://osumc.com/news-media-relations/,https://osumc.com/,,,,
https://osumc.com/news-media-relations/,https://osumc.com/,,,,
https://osumc.com/resources/medical-records/,https://osumc.com/,,,,
https://osumc.com/resources/medical-records/,https://osumc.com/,,,,
https://osumc.com/resources/medical-records/,https://osumc.com/,,,,
https://osumc.com/resources/history-2/,https://osumc.com/,,,,
https://osumc.com/resources/history-2/,https://osumc.com/,,,,
https://osumc.com/resources/history-2/,https://osumc.com/,,,,
https://osumc.com/dr-cornwell-blending-family-and-sports-medicine-together-for-better-care/,https://osumc.com/,,,,
https://osumc.com/resources/contact/,https://osumc.com/,,,,
https://osumc.com/resources/contact/,https://osumc.com/,,,,
