"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.vidanthealth.com/","text/html; charset=UTF-8","200","OK","Indexable","","Vidant Health | Eastern NC Health Care | Find a Doctor","54","483","","0","0","Vidant Health is a mission-driven, 1,447-bed health system serving more than 1.4 million people in 29 eastern North Carolina counties. The not-for-profit system is made up of 12,000 employees, eight hospitals, home health, hospice, wellness centers and Vidant Medical Group, a multispecialty physician-provider group.","317","1971","","0","Search Vidant Health","20","","0","Your medical partner, in sickness and in health.","48","NURSING AT VIDANT","17","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.vidanthealth.com/","","","","","","95729","523","3.804","0","","1410","476","0","99.580","100","48","0","20","12","0","","","","","c73941da9d7b3c4db11195840af15632","0.142","Fri, 21 Jan 2022 13:04:05 GMT","","","","1.1","https://www.vidanthealth.com/","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.5.14","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.149","Sat, 08 Jan 2022 12:02:41 GMT","","","","1.1","https://www.vidanthealth.com/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.5.14","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-includes/js/underscore.min.js?ver=1.13.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.168","Tue, 20 Jul 2021 18:27:31 GMT","","","","1.1","https://www.vidanthealth.com/wp-includes/js/underscore.min.js?ver=1.13.1","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-includes/js/wp-embed.min.js?ver=5.8.3","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.148","Wed, 06 Jan 2021 15:29:24 GMT","","","","1.1","https://www.vidanthealth.com/wp-includes/js/wp-embed.min.js?ver=5.8.3","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-content/uploads/2020/08/heart-vascular-care-ico.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.152","Wed, 26 Aug 2020 16:05:01 GMT","","","","1.1","https://www.vidanthealth.com/wp-content/uploads/2020/08/heart-vascular-care-ico.svg","2022-01-21 09:35:04"
"https://www.vidanthealth.com/services/orthopedics-sports-medicine/","text/html; charset=UTF-8","200","OK","Indexable","","Orthopedics & Sports Medicine - Vidant Health","45","410","","0","0","Vidant Health Orthopedics treat a wide range of conditions including but not limited to ACL and Meniscus Tear and Hand Sugery.","126","792","","0","Search Vidant Health","20","Orthopedics and Sports Medicine","31","Find relief and solutions for your sports injury, joint pain and more.","70","For More Information","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.vidanthealth.com/services/orthopedics-sports-medicine/","","","","","","85940","942","7.659","1","","41","11","0","2.300","83","37","0","44","38","0","","","","","b6e6448a53218ab2e8c36535b7398615","0.226","Thu, 20 Jan 2022 20:44:36 GMT","","","","1.1","https://www.vidanthealth.com/services/orthopedics-sports-medicine/","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-content/uploads/2021/12/ACA-Nondiscrimination-Notice.pdf","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","333385","0","0.000","1","","476","476","0","99.580","0","0","0","0","0","0","","","","","","0.361","Wed, 01 Dec 2021 20:06:07 GMT","","","","1.1","https://www.vidanthealth.com/wp-content/uploads/2021/12/ACA-Nondiscrimination-Notice.pdf","2022-01-21 09:35:04"
"https://www.vidanthealth.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.166","Tue, 20 Jul 2021 18:27:31 GMT","","","","1.1","https://www.vidanthealth.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3","2022-01-21 09:35:04"
"https://www.vidanthealth.com/newsroom/news-press-releases/","text/html; charset=UTF-8","200","OK","Indexable","","News & Press Releases - Vidant Health","37","347","","0","0","","0","0","","0","Search Vidant Health","20","News & Press Releases","21","The Latest","10","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.vidanthealth.com/newsroom/news-press-releases/","https://www.vidanthealth.com/newsroom/news-press-releases/page/2/","","","","","54375","174","3.346","1","","134","129","0","26.990","60","33","0","15","10","0","","","","","9a366dfa488d3ac0ba71fd084d40b71e","0.157","Fri, 21 Jan 2022 12:19:47 GMT","","","","1.1","https://www.vidanthealth.com/newsroom/news-press-releases/","2022-01-21 09:35:04"
"https://www.vidanthealth.com/research-grants/prospective-participants/","text/html; charset=UTF-8","200","OK","Indexable","","Prospective Participants - Vidant Health","40","349","","0","0","","0","0","","0","Search Vidant Health","20","Prospective Participants","24","Enrolling in a clinical trial provides new hope for now and later.","66","Types of Clinical Studies","25","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.vidanthealth.com/research-grants/prospective-participants/","","","","","","82519","788","6.293","1","","954","468","0","97.910","67","34","0","80","75","0","","","","","a8d2ebdb7e97fc972d6a022e660214b3","0.275","Fri, 21 Jan 2022 09:15:58 GMT","","","","1.1","https://www.vidanthealth.com/research-grants/prospective-participants/","2022-01-21 09:35:04"
