"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.goodsamaritanmedical.org/","text/html; charset=UTF-8","200","OK","Indexable","","Good Samaritan Medical Center | A Steward Hospital | Brockton MA","64","594","Award Winning Medical Center, Good Samaritan, has the expertise to treat, diagnose & care for our friends and family members who are in need. Call today!","153","969","","0","","0","","0","","0","","0","","","","","","","","","","53703","634","8.738","0","","214","210","0","99.530","101","78","0","19","13","0","","","","","c98870856b1196d92e1d6648c21dd722","0.371","Fri, 04 Feb 2022 16:42:08 GMT","","","","1.1","https://www.goodsamaritanmedical.org/","2022-02-04 11:49:32"
"https://www.goodsamaritanmedical.org/services-directory/covid-19","text/html; charset=UTF-8","200","OK","Indexable","","COVID-19: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","74","696","As COVID-19 continues to spread across the United States, Steward Health Care is fully prepared to care for our patients and the communities we serve.","150","951","","0","COVID-19","8","","0","Visitor Policy","14","Resources","9","","","","","","","","","","31299","465","12.203","1","","422","210","0","99.530","36","30","0","20","14","0","","","","","3e69b7bb02babe1dddf7dca7c9357c42","0.356","Fri, 04 Feb 2022 16:42:25 GMT","","","","1.1","https://www.goodsamaritanmedical.org/services-directory/covid-19","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine","text/html; charset=UTF-8","200","OK","Indexable","","Badal Kalamkar, MD, MPH, named Chief of Hospitalist Medicine: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","126","1169","Badal Kalamkar, MD, MPH, has been appointed to lead Department of Hospitalist Medicine.
Dr. Kalamkar is board certified in Internal Medicine. He attended Topiwala National Medical College in India. He earned his Master’s in Public Health with a concentration in Epidemiology, from East Tennessee State University. 
He earned a medical degree and completed a residency in Internal Medicine at SUNY Med...","403","2537","","0","News","4","Badal Kalamkar, MD, MPH, named Chief of Hospitalist Medicine","60","","0","","0","","","","","","","","","","29701","263","8.554","1","","2","2","0","0.950","37","29","0","19","14","0","","","","","fb0b5ee6ff5c6c77074640e5bb09f81f","0.382","Fri, 04 Feb 2022 16:42:15 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2019-09-25/badal-kalamkar-md-mph-named-chief-hospitalist-medicine","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/domain-specific/720191/newsroom/2021-07-12/steward-health-care-appoints-sr-vimala-vadakumpadan-board-directors","text/html; charset=UTF-8","200","OK","Indexable","","Steward Health Care Appoints Sr. Vimala Vadakumpadan to Board of Directors: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","140","1295","DALLAS, TX -- Steward Health Care today announced the appointment of Sr. Vimala Vadakumpadan to its Board of Directors. A member of the Dominican Sisters of the Presentation, she has served as Chairperson of the Board of Steward’s Saint Anne’s Hospital in Fall River, Massachusetts since 2005. 
A native of Kerala, India, Sr. Vimala received a Bachelor of Arts in Management from Bhopal School of Sci...","403","2557","","0","News","4","Steward Health Care Appoints Sr. Vimala Vadakumpadan to Board of Directors","74","","0","","0","","","","","","","","","","32231","549","13.638","1","","3","3","0","1.420","37","29","0","20","15","0","","","","","bef3c0ba052a74925ee6d505adb3af3f","0.399","Fri, 04 Feb 2022 16:42:15 GMT","","","","1.1","https://www.goodsamaritanmedical.org/domain-specific/720191/newsroom/2021-07-12/steward-health-care-appoints-sr-vimala-vadakumpadan-board-directors","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2021-05-24/good-samaritan-medical-center-installs-new-state-art-mri","text/html; charset=UTF-8","200","OK","Indexable","","Good Samaritan Medical Center Installs New, State-of-the-Art MRI Scanner Designed to Provide Exceptional Imaging, and Improved Patient Experience.: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","212","1937","Good Samaritan Medical Center is pleased to announce the installation of a Philips Ingenia Ambition 1.5T MR system within its Diagnostic Imaging Suite. The new state-of-the-art MRI provides exceptional, high-quality images, faster exams, and improved patient experience. It is one of the most advanced, high-performance MRIs in the region.
The new MRI, installed on the ground floor Radiology Suite i...","403","2505","","0","News","4","Good Samaritan Medical Center Installs New, State-of-the-Art MRI Scanner Designed to Provide Exceptional Imaging, and Improved Patient Experience.","146","","0","","0","","","","","","","","","","31196","361","10.649","1","","4","4","0","1.900","38","30","0","19","14","0","","","","","e8493ae5277576b7bdcc07493ff2e7d7","0.518","Fri, 04 Feb 2022 16:42:15 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2021-05-24/good-samaritan-medical-center-installs-new-state-art-mri","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/themes/custom/steward_theme_2021/2021/img/appointment.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.173","Tue, 18 May 2021 15:41:10 GMT","","","","1.1","https://www.goodsamaritanmedical.org/themes/custom/steward_theme_2021/2021/img/appointment.svg","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2020-10-22/ribbon-cutting-marks-completion-renovations-steward","text/html; charset=UTF-8","200","OK","Indexable","","Ribbon Cutting Marks Completion of Renovations for Steward Medical Group Hematology Oncology Infusion Center: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","174","1619","A newly renovated Steward Medical Group (SMG) Hematology Oncology Infusion Center was celebrated with a ribbon cutting on October 7. Good Samaritan Medical Center leadership joined SMG Hematology Oncology physicians, nurses and Cancer Program leadership to mark the completion of the project. The renovated center provides patients with a contemporary space and new features that will improve the del...","403","2596","","0","News","4","Ribbon Cutting Marks Completion of Renovations for Steward Medical Group Hematology Oncology Infusion Center","108","","0","","0","","","","","","","","","","30169","268","8.781","1","","2","2","0","0.950","37","29","0","19","14","0","","","","","5017cbd59084efe369c468dd8a7e0729","0.352","Fri, 04 Feb 2022 16:42:25 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2020-10-22/ribbon-cutting-marks-completion-renovations-steward","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2020-10-01/steward-health-care-encourages-communities-help-protect-against-seasonal","text/html; charset=UTF-8","200","OK","Indexable","","Telehealth Launched to Expand Access to Care for Patients Amid COVID-19 Pandemic","80","764","Steward Health Care today announced the implementation of telehealth visits, including the use of Microsoft Teams and FaceTime appointments with Steward Medical Group providers, to expand access to care in response to the coronavirus COVID-19 and give patients peace of mind that they can receive the medical care they need without having to go to the doctor’s office.","368","2331","","0","News","4","Steward Health Care Encourages Communities to Help Protect Against Seasonal Influenza by Getting a Flu Shot","107","","0","","0","","","","","","","","","","32838","767","16.844","1","","2","2","0","0.950","37","29","0","21","15","0","","","","","9fa9ef7b3caade13b1ea2f87e716e6a4","0.340","Fri, 04 Feb 2022 16:42:25 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2020-10-01/steward-health-care-encourages-communities-help-protect-against-seasonal","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2020-04-02/steward-medical-group-launches-telehealth-expand-access-care-patients-amid","text/html; charset=UTF-8","200","OK","Indexable","","Telehealth Launched to Expand Access to Care for Patients Amid COVID-19 Pandemic","80","764","Steward Health Care today announced the implementation of telehealth visits, including the use of Microsoft Teams and FaceTime appointments with Steward Medical Group providers, to expand access to care in response to the coronavirus COVID-19 and give patients peace of mind that they can receive the medical care they need without having to go to the doctor’s office.","368","2331","","0","News","4","Steward Medical Group Launches Telehealth to Expand Access to Care for Patients Amid COVID-19 Pandemic","102","","0","","0","","","","","","","","","","31344","560","13.723","1","","2","2","0","0.950","37","29","0","19","14","0","","","","","2821e4a2fc2e062a64fe95234a73bbb5","0.414","Fri, 04 Feb 2022 16:42:23 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2020-04-02/steward-medical-group-launches-telehealth-expand-access-care-patients-amid","2022-02-04 11:49:33"
"https://www.goodsamaritanmedical.org/newsroom/2019-05-08/good-samaritan-medical-center-and-morton-hospital-hosted","text/html; charset=UTF-8","200","OK","Indexable","","Good Samaritan Medical Center and Morton Hospital Hosted  Stop the Bleed® Class for Taunton Public Schools: Good Samaritan Medical Center | A Steward Hospital | Brockton MA","172","1585","Class Provides Life-Saving Training on How to Stop Uncontrolled Bleeding 
Good Samaritan Medical Center, together with Morton Hospital, held a Stop the Bleed® class for Taunton Public Schools’ staff members on Friday, April 26, 2019, at The Leddy School in Taunton. Stop the Bleed is a national awareness campaign and call to action to train, equip and empower individuals to help in a bleeding emerg...","403","2518","","0","News","4","Good Samaritan Medical Center and Morton Hospital Hosted  Stop the Bleed® Class for Taunton Public Schools","106","","0","","0","","","","","","","","","","30475","352","9.920","1","","2","2","0","0.950","37","29","0","19","14","0","","","","","650797b1a6695dad2be89762559026cf","0.328","Fri, 04 Feb 2022 16:42:29 GMT","","","","1.1","https://www.goodsamaritanmedical.org/newsroom/2019-05-08/good-samaritan-medical-center-and-morton-hospital-hosted","2022-02-04 11:49:33"
